periodo,tipo_exam,descripcion,link
ADMISION 2023-II,CEPUNT,Resultados Cepunt Huamachuco Área A,https://unitru.edu.pe/webfiles///Convocatoria/2023/3//71_DOC_CONVO_100320230549.txt
ADMISION 2023-II,CEPUNT,Resultados Cepunt Huamachuco Área B,https://unitru.edu.pe/webfiles///Convocatoria/2023/3//71_DOC_CONVO_110320230628.txt
ADMISION 2023-II,CEPUNT,Resultados Cepunt Huamachuco Área C y D,https://unitru.edu.pe/webfiles///Convocatoria/2023/3//71_DOC_CONVO_120320230547.txt
ADMISION 2023-II,EXTRAORDINARIO,Resultados Excelencia Trujillo,https://unitru.edu.pe/webfiles///Convocatoria/2023/2//69_DOC_CONVO_110220230631.txt
ADMISION 2023-II,EXTRAORDINARIO,Resultados Persona con Discapacidad,https://unitru.edu.pe/webfiles///Convocatoria/2023/2//69_DOC_CONVO_110220230636.txt
ADMISION 2023-II,EXTRAORDINARIO,Resultados Víctimas de la Violencia Trujillo,https://unitru.edu.pe/webfiles///Convocatoria/2023/2//69_DOC_CONVO_110220230638.txt
ADMISION 2023-II,EXTRAORDINARIO,Resultados Victimas de la Violencia Excelencia Valle Jequetepeque,https://unitru.edu.pe/webfiles///Convocatoria/2023/2//69_DOC_CONVO_110220230639.txt
ADMISION 2023-II,EXTRAORDINARIO,Resultados Excelencia Valle Jequetepeque,https://unitru.edu.pe/webfiles///Convocatoria/2023/2//69_DOC_CONVO_110220230633.txt
ADMISION 2023-II,EXTRAORDINARIO,Resultados Excelencia Huamachuco,https://unitru.edu.pe/webfiles///Convocatoria/2023/2//69_DOC_CONVO_110220230635.txt
ADMISION 2023-II,ORDINARIO,Resultados Ordinario Área A Trujillo,https://unitru.edu.pe/webfiles///Convocatoria/2023/3//73_DOC_CONVO_240320230530.txt
ADMISION 2023-II,ORDINARIO,Resultados Ordinario Área B Trujillo,https://unitru.edu.pe/webfiles///Convocatoria/2023/3//73_DOC_CONVO_250320230631.txt
ADMISION 2023-II,ORDINARIO,Resultados Ordinario Área C y D Trujillo,https://unitru.edu.pe/webfiles///Convocatoria/2023/3//73_DOC_CONVO_260320230619.txt
ADMISION 2023-II,ORDINARIO,Resultados Ordinario Área A Valle Jequetepeque,https://unitru.edu.pe/webfiles///Convocatoria/2023/3//73_DOC_CONVO_240320230533.txt
ADMISION 2023-II,ORDINARIO,Resultados Ordinario Área B Valle Jequetepeque,https://unitru.edu.pe/webfiles///Convocatoria/2023/3//73_DOC_CONVO_250320230635.txt
ADMISION 2023-II,ORDINARIO,Resultados Ordinario Área C y D Valle Jequetepeque,https://unitru.edu.pe/webfiles///Convocatoria/2023/3//73_DOC_CONVO_260320230621.txt
ADMISION 2023-II,ORDINARIO,Resultados Ordinario Área A Huamachuco,https://unitru.edu.pe/webfiles///Convocatoria/2023/3//73_DOC_CONVO_240320230541.txt
ADMISION 2023-II,ORDINARIO,Resultados Ordinario Área B Huamachuco,https://unitru.edu.pe/webfiles///Convocatoria/2023/3//73_DOC_CONVO_260320230551.txt
ADMISION 2023-II,ORDINARIO,Resultados Ordinario Área A Y D Huamachuco,https://unitru.edu.pe/webfiles///Convocatoria/2023/3//73_DOC_CONVO_260320230625.txt
ADMISION 2023-II,ORDINARIO,Resultados Ordinario Área B Samtiago de Chuco,https://unitru.edu.pe/webfiles///Convocatoria/2023/3//73_DOC_CONVO_250320230733.txt
ADMISION 2024-I,CEPUNT,Resultados I Sumativo CEPUNT: Trujillo,https://unitru.edu.pe/webfiles///Convocatoria/2023/6//77_DOC_CONVO_250620230801.txt
ADMISION 2024-I,CEPUNT,Resultados II Sumativo CEPUNT: Trujillo,https://unitru.edu.pe/webfiles///Convocatoria/2023/8//77_DOC_CONVO_200820231146.txt
ADMISION 2024-I,CEPUNT,Resultados I Sumativo CEPUNT: Valle Jequetepeque,https://unitru.edu.pe/webfiles///Convocatoria/2023/6//77_DOC_CONVO_250620230804.txt
ADMISION 2024-I,CEPUNT,Resultados II Sumativo CEPUNT: Valle Jequetepeque,https://unitru.edu.pe/webfiles///Convocatoria/2023/8//77_DOC_CONVO_210820231240.txt
ADMISION 2024-I,CEPUNT,Resultados I Sumativo CEPUNT: Huamachuco,https://unitru.edu.pe/webfiles///Convocatoria/2023/6//77_DOC_CONVO_250620230806.txt
ADMISION 2024-I,CEPUNT,Resultados II Sumativo CEPUNT: Huamachuco,https://unitru.edu.pe/webfiles///Convocatoria/2023/8//77_DOC_CONVO_210820231242.txt
ADMISION 2024-I,EXTRAORDINARIO,Resultados Excelencia Trujillo,https://unitru.edu.pe/webfiles///Convocatoria/2023/9//84_DOC_CONVO_030920230617.txt
ADMISION 2024-I,EXTRAORDINARIO,Resultados Personas con Discapacidad,https://unitru.edu.pe/webfiles///Convocatoria/2023/9//84_DOC_CONVO_030920230618.txt
ADMISION 2024-I,ORDINARIO,Resultados Ordinario Área A Trujillo,https://unitru.edu.pe/webfiles///Convocatoria/2023/9//87_DOC_CONVO_300920230853.txt
ADMISION 2024-I,ORDINARIO,Resultados Ordinario 5to Secundaria Área A Trujillo,https://unitru.edu.pe/webfiles///Convocatoria/2023/9//87_DOC_CONVO_300920230847.txt
ADMISION 2024-I,ORDINARIO,Resultados Ordinario Área B y C Trujillo,https://unitru.edu.pe/webfiles///Convocatoria/2023/9//87_DOC_CONVO_240920230959.txt
ADMISION 2024-I,ORDINARIO,Resultados Ordinario 5to Secundaria Área B y C Trujillo,https://unitru.edu.pe/webfiles///Convocatoria/2023/9//87_DOC_CONVO_240920230904.txt
ADMISION 2024-I,ORDINARIO,Resultados Ordinario Área D Trujillo,https://unitru.edu.pe/webfiles///Convocatoria/2023/9//87_DOC_CONVO_230920231114.txt
ADMISION 2024-I,ORDINARIO,Resultados Ordinario 5to Secundaria Área D Trujillo,https://unitru.edu.pe/webfiles///Convocatoria/2023/9//87_DOC_CONVO_230920231112.txt
ADMISION 2024-II,CEPUNT,I Sumativo CEPUNT: Huamachuco,https://unitru.edu.pe/webfiles///Convocatoria/2024/1//91_DOC_CONVO_070120240708.txt
ADMISION 2024-II,CEPUNT,I Sumativo CEPUNT: Valle Jequetepeque,https://unitru.edu.pe/webfiles///Convocatoria/2024/1//91_DOC_CONVO_070120240701.txt
ADMISION 2024-II,CEPUNT,I Sumativo CEPUNT: Trujillo,https://unitru.edu.pe/webfiles///Convocatoria/2024/1//91_DOC_CONVO_070120240659.txt
ADMISION 2024-II,CEPUNT,II Sumativo CEPUNT: Huamachuco,https://unitru.edu.pe/webfiles///Convocatoria/2024/2//91_DOC_CONVO_180220241102.txt
ADMISION 2024-II,CEPUNT,II Sumativo CEPUNT: Valle Jequetepeque,https://unitru.edu.pe/webfiles///Convocatoria/2024/2//91_DOC_CONVO_180220241100.txt
ADMISION 2024-II,CEPUNT,II Sumativo CEPUNT: Trujillo,https://unitru.edu.pe/webfiles///Convocatoria/2024/2//91_DOC_CONVO_180220241059.txt
ADMISION 2024-II,EXTRAORDINARIO,2024-II Trujillo,https://unitru.edu.pe/webfiles///Convocatoria/2024/3//105_DOC_CONVO_040320240427.txt
ADMISION 2024-II,EXTRAORDINARIO,2024-II Huamachuco,https://unitru.edu.pe/webfiles///Convocatoria/2024/3//105_DOC_CONVO_040320240432.txt
ADMISION 2024-II,EXTRAORDINARIO,2024-II Santiago de Chuco,https://unitru.edu.pe/webfiles///Convocatoria/2024/3//105_DOC_CONVO_040320240431.txt
ADMISION 2024-II,EXTRAORDINARIO,2024-II Valle Jequetepeque,https://unitru.edu.pe/webfiles///Convocatoria/2024/3//105_DOC_CONVO_040320240430.txt
ADMISION 2024-II,EXTRAORDINARIO,2024-II Personas con Discapacidad,https://unitru.edu.pe/webfiles///Convocatoria/2024/3//105_DOC_CONVO_040320240426.txt
ADMISION 2024-II,EXTRAORDINARIO,2024-II Victimas de la Violencia,https://unitru.edu.pe/webfiles///Convocatoria/2024/3//105_DOC_CONVO_040320240425.txt
ADMISION 2024-II,EXTRAORDINARIO,2024-II Deportistas Calificados,https://unitru.edu.pe/webfiles///Convocatoria/2024/3//105_DOC_CONVO_040320240424.txt
ADMISION 2024-II,ORDINARIO,Áreas A y D: Trujillo,https://unitru.edu.pe/webfiles///Convocatoria/2024/3//114_DOC_CONVO_170320240632.txt
ADMISION 2024-II,ORDINARIO,Áreas B y C: Trujillo,https://unitru.edu.pe/webfiles///Convocatoria/2024/3//114_DOC_CONVO_170320240845.txt
ADMISION 2024-II,ORDINARIO,Áreas A y D: Huamachuco,https://unitru.edu.pe/webfiles///Convocatoria/2024/3//114_DOC_CONVO_170320240646.txt
ADMISION 2024-II,ORDINARIO,Áreas B y C: Huamachuco,https://unitru.edu.pe/webfiles///Convocatoria/2024/3//114_DOC_CONVO_170320240847.txt
ADMISION 2024-II,ORDINARIO,Áreas A y D: Valle Jequetepeque,https://unitru.edu.pe/webfiles///Convocatoria/2024/3//114_DOC_CONVO_170320240644.txt
ADMISION 2024-II,ORDINARIO,Áreas B y C: Valle Jequetepeque,https://unitru.edu.pe/webfiles///Convocatoria/2024/3//114_DOC_CONVO_170320240846.txt
ADMISION 2024-II,ORDINARIO,Áreas B y C: Santiago de Chuco,https://unitru.edu.pe/webfiles///Convocatoria/2024/3//114_DOC_CONVO_170320240848.txt
