periodo,tipo_exam,descripcion,link
ADMISIÓN 2020-II,CEPUNT,Resultados Cepunt Valle Jequetepeque,http://admisionunt.info/docs/padrones/20202/20202_cepunt/20202_cepunt_valle.txt
ADMISIÓN 2020-II,CEPUNT,Resultados Cepunt Huamachuco,http://admisionunt.info/docs/padrones/20202/20202_cepunt/20202_cepunt_huama.txt
ADMISIÓN 2020-II,ORDINARIO,Resultados Ordinario Área A Trujillo,http://admisionunt.info/docs/padrones/20202/20202_ordinario/20202_trujillo_ordinario_A.txt
ADMISIÓN 2020-II,ORDINARIO,Resultados Ordinario Área B Trujillo,http://admisionunt.info/docs/padrones/20202/20202_ordinario/20202_trujillo_ordinario_B.txt
ADMISIÓN 2020-II,ORDINARIO,Resultados Ordinario Área A Valle,http://admisionunt.info/docs/padrones/20202/20202_ordinario/20202_valle_ordinario_A.txt
ADMISIÓN 2020-II,ORDINARIO,Resultados Ordinario Área B Valle,http://admisionunt.info/docs/padrones/20202/20202_ordinario/20202_valle_ordinario_B.txt
ADMISIÓN 2020-II,ORDINARIO,Resultados Ordinario Área A Huamachuco,http://admisionunt.info/docs/padrones/20202/20202_ordinario/20202_huama_ordinario_A.txt
ADMISIÓN 2020-II,ORDINARIO,Resultados Ordinario Área B Huamachuco,http://admisionunt.info/docs/padrones/20202/20202_ordinario/20202_huama_ordinario_B.txt
ADMISIÓN 2020-II,ORDINARIO,Resultados Ordinario Área A Samtiago de Chuco,http://admisionunt.info/docs/padrones/20202/20202_ordinario/20202_stgo_ordinario_A.txt
ADMISIÓN 2020-II,EXTRAORDINARIO,Resultados Excelencia Trujillo,http://admisionunt.info/docs/padrones/20202/20202_extraordinario_trujillo/20202_extraordinario_trujillo_excelencia.txt
ADMISIÓN 2020-II,EXTRAORDINARIO,Resultados Personas con Discapacidad Trujillo,http://admisionunt.info/docs/padrones/20202/20202_extraordinario_trujillo/20202_extraordinario_trujillo_discapacidad.txt
ADMISIÓN 2020-II,EXTRAORDINARIO,Resultados Deportistas Calificados Trujillo,http://admisionunt.info/docs/padrones/20202/20202_extraordinario_trujillo/20202_extraordinario_trujillo_deportista.txt
ADMISIÓN 2020-II,EXTRAORDINARIO,Resultados Víctimas de la Violencia Trujillo,http://admisionunt.info/docs/padrones/20202/20202_extraordinario_trujillo/20202_extraordinario_trujillo_victimas.txt
ADMISIÓN 2020-II,EXTRAORDINARIO,Resultados Excelencia Valle Jequetepeque,http://admisionunt.info/docs/padrones/20202/20202_extraordinario_sedes/20202_extraordinario_valle_excelencia.txt
ADMISIÓN 2020-II,EXTRAORDINARIO,Resultados Excelencia Huamachuco,http://admisionunt.info/docs/padrones/20202/20202_extraordinario_sedes/20202_extraordinario_huama_excelencia.txt
ADMISIÓN 2020-II,EXTRAORDINARIO,Resultados Excelencia Santiago de Chuco,http://admisionunt.info/docs/padrones/20202/20202_extraordinario_sedes/20202_extraordinario_stgo_excelencia.txt
ADMISIÓN 2021-I,CEPUNT,Resultados Cepunt Trujillo Área A,http://admisionunt.info/docs/padrones/20211/20211_cepunt/20211_cepunt_trujillo_A.txt
ADMISIÓN 2021-I,CEPUNT,Resultados Cepunt Trujillo Área B,http://admisionunt.info/docs/padrones/20211/20211_cepunt/20211_cepunt_trujillo_B.txt
ADMISIÓN 2021-I,CEPUNT,Resultados Cepunt Trujillo Área C y D,http://admisionunt.info/docs/padrones/20211/20211_cepunt/20211_cepunt_trujillo_CD.txt
ADMISIÓN 2021-I,CEPUNT,Resultados Cepunt Valle Jequetepeque Área A,http://admisionunt.info/docs/padrones/20211/20211_cepunt/20211_cepunt_valle_A.txt
ADMISIÓN 2021-I,CEPUNT,Resultados Cepunt Valle Jequetepeque Área B,http://admisionunt.info/docs/padrones/20211/20211_cepunt/20211_cepunt_valle_B.txt
ADMISIÓN 2021-I,CEPUNT,Resultados Cepunt Valle Jequetepeque Área C y D,http://admisionunt.info/docs/padrones/20211/20211_cepunt/20211_cepunt_valle_CD.txt
ADMISIÓN 2021-I,CEPUNT,Resultados Cepunt Huamachuco Área A,http://admisionunt.info/docs/padrones/20211/20211_cepunt/20211_cepunt_huamachuco_A.txt
ADMISIÓN 2021-I,CEPUNT,Resultados Cepunt Huamachuco Área B,http://admisionunt.info/docs/padrones/20211/20211_cepunt/20211_cepunt_huamachuco_B.txt
ADMISIÓN 2021-I,CEPUNT,Resultados Cepunt Huamachuco Área C y D,http://admisionunt.info/docs/padrones/20211/20211_cepunt/20211_cepunt_huamachuco_CD.txt
ADMISIÓN 2021-I,ORDINARIO,Resultados Ordinario Área A Trujillo,http://admisionunt.info/docs/padrones/20211/20211_ordinario/20211_ordinario_trujillo_A.txt
ADMISIÓN 2021-I,ORDINARIO,Resultados Ordinario Área B Trujillo,http://admisionunt.info/docs/padrones/20211/20211_ordinario/20211_ordinario_trujillo_B.txt
