id_result,periods,test_type,details,link
14,ADMISIÓN 2019-II,ORDINARIO,Resultados Ordinario Área A Valle,http://admisionunt.info/docs/padrones/20192/20192_ordinario/20192_ordinario_valle_A.txt
15,ADMISIÓN 2019-II,ORDINARIO,Resultados Ordinario Área B Valle,http://admisionunt.info/docs/padrones/20192/20192_ordinario/20192_ordinario_valle_B.txt
16,ADMISIÓN 2019-II,ORDINARIO,Resultados Ordinario Área A Huamachuco,http://admisionunt.info/docs/padrones/20192/20192_ordinario/20192_ordinario_huama_A.txt
17,ADMISIÓN 2019-II,ORDINARIO,Resultados Ordinario Área B Huamachuco,http://admisionunt.info/docs/padrones/20192/20192_ordinario/20192_ordinario_huama_B.txt
18,ADMISIÓN 2019-II,ORDINARIO,Resultados Ordinario Área A Santiago de Chuco,http://admisionunt.info/docs/padrones/20192/20192_ordinario/20192_ordinario_stgo_A.txt
19,ADMISIÓN 2019-II,EXTRAORDINARIO,Resultados Excelencia Trujillo,http://admisionunt.info/docs/padrones/20192/20192_extraordinario_trujillo/20192_extraordinario_trujillo_excelencia.txt
20,ADMISIÓN 2019-II,EXTRAORDINARIO,Resultados Personas con Discapacidad Trujillo,http://admisionunt.info/docs/padrones/20192/20192_extraordinario_trujillo/20192_extraordinario_trujillo_discapacidad.txt
21,ADMISIÓN 2019-II,EXTRAORDINARIO,Resultados Deportistas Calificados Trujillo,http://admisionunt.info/docs/padrones/20192/20192_extraordinario_trujillo/20192_extraordinario_trujillo_deportista.txt
22,ADMISIÓN 2019-II,EXTRAORDINARIO,Resultados Víctimas de la Violencia Trujillo,http://admisionunt.info/docs/padrones/20192/20192_extraordinario_trujillo/20192_extraordinario_trujillo_victimas.txt
23,ADMISIÓN 2019-II,EXTRAORDINARIO,Resultados Excelencia Valle Jequetepeque,http://admisionunt.info/docs/padrones/20192/20192_extraordinario_sedes/20192_extraordinario_valle_excelencia.txt
24,ADMISIÓN 2019-II,EXTRAORDINARIO,Resultados Excelencia Huamachuco,http://admisionunt.info/docs/padrones/20192/20192_extraordinario_sedes/20192_extraordinario_huama_excelencia.txt
25,ADMISIÓN 2019-II,EXTRAORDINARIO,Resultados Excelencia Santiago de Chuco,http://admisionunt.info/docs/padrones/20192/20192_extraordinario_sedes/20192_extraordinario_stgo_excelencia.txt
26,ADMISIÓN 2020-I,CEPUNT,Resultados Cepunt Trujillo,http://admisionunt.info/docs/padrones/20201/20201_cepunt/20201_cepunt_truji.txt
27,ADMISIÓN 2020-I,CEPUNT,Resultados Cepunt Valle Jequetepeque,http://admisionunt.info/docs/padrones/20201/20201_cepunt/20201_cepunt_valle.txt
28,ADMISIÓN 2020-I,CEPUNT,Resultados Cepunt Huamachuco,http://admisionunt.info/docs/padrones/20201/20201_cepunt/20201_cepunt_huama.txt
29,ADMISIÓN 2020-I,ORDINARIO,Resultados Ordinario Área A Trujillo,http://admisionunt.info/docs/padrones/20201/20201_ordinario/20201_ordinario_A.txt
30,ADMISIÓN 2020-I,ORDINARIO,Resultados Ordinario Área B Trujillo,http://admisionunt.info/docs/padrones/20201/20201_ordinario/20201_ordinario_B.txt
31,ADMISIÓN 2020-I,ORDINARIO,Resultados Ordinario 5to Secundaria Área A Trujillo,http://admisionunt.info/docs/padrones/20201/20201_ordinario/20201_ordinario5to_A.txt
32,ADMISIÓN 2020-I,ORDINARIO,Resultados Ordinario 5to Secundaria Área B Trujillo,http://admisionunt.info/docs/padrones/20201/20201_ordinario/20201_ordinario5to_B.txt
33,ADMISIÓN 2020-I,EXTRAORDINARIO,Resultados Excelencia Trujillo,http://admisionunt.info/docs/padrones/20201/20201_extraordinario/20201_extraordinario_trujillo_excelencia.txt
34,ADMISIÓN 2020-I,EXTRAORDINARIO,Resultados Personas con Discapacidad Trujillo,http://admisionunt.info/docs/padrones/20201/20201_extraordinario/20201_extraordinario_trujillo_discapacidad.txt
35,ADMISIÓN 2020-II,CEPUNT,Resultados Cepunt Trujillo,http://admisionunt.info/docs/padrones/20202/20202_cepunt/20202_cepunt_truji.txt
36,ADMISIÓN 2020-II,CEPUNT,Resultados Cepunt Valle Jequetepeque,http://admisionunt.info/docs/padrones/20202/20202_cepunt/20202_cepunt_valle.txt
